Number of Erasures:	1
+-------+------------+--------------+
| Row  |  Decoded?  |  Num Errors |
+-------+------------+--------------+
|0     | True       | 2           |
|1     | True       | 2           |
|2     | True       | 4           |
|3     | True       | 3           |
|4     | True       | 4           |
|5     | True       | 3           |
|6     | True       | 3           |
|7     | True       | 3           |
|8     | True       | 2           |
|9     | True       | 4           |
|10    | True       | 5           |
|11    | True       | 4           |
|12    | True       | 4           |
|13    | True       | 4           |
|14    | True       | 4           |
|15    | True       | 3           |
|16    | True       | 3           |
|17    | True       | 3           |
|18    | True       | 2           |
|19    | True       | 1           |
|20    | True       | 1           |
|21    | True       | 1           |
|22    | True       | 2           |
|23    | True       | 3           |
|24    | True       | 3           |
|25    | True       | 2           |
|26    | True       | 3           |
|27    | True       | 4           |
|28    | True       | 4           |
|29    | True       | 5           |
|30    | True       | 5           |
|31    | True       | 5           |
|32    | True       | 6           |
|33    | True       | 6           |
|34    | True       | 3           |
|35    | True       | 3           |
|36    | True       | 4           |
|37    | True       | 4           |
|38    | True       | 3           |
|39    | True       | 3           |
|40    | True       | 2           |
+-------+------------+--------------+
